Stare Time: 24-Sep-2019 02:06:13
 Time    Current        Gap      Phase         Fx         Fy      SizeX      SizeY     BL11I0  InjectEff  CH11   CH12   CH13   CH14   CH15   CH16   CH17   CH21   CH22   CH23   CH24   CH25   CH26   CH27
02:06    357.774      21.50      28.00     756.27     438.73     140.47      55.52      33.88       0.00  0.20   0.81   0.68  -0.60  -0.17  -0.62  -0.58   0.64   0.30   0.74   0.54  -0.35  -0.60   0.76 
02:06    357.611      21.50      28.00     756.17     438.64     140.74      54.91      33.58       0.00  0.20   0.81   0.68  -0.60  -0.17  -0.62  -0.58   0.64   0.30   0.74   0.54  -0.93  -0.40   0.30 
02:06    357.555      21.50      28.00     760.68     437.64     140.79      55.93      33.71       0.00 -0.29  -0.04   0.10  -0.94   0.39  -0.26   0.61  -0.48   0.61   0.72   0.96  -0.93  -0.40   0.30 
02:06    357.497      21.50      28.00     756.43     438.64     140.51      55.86      33.64       0.00  0.19  -0.33  -0.47  -0.43   0.52  -0.56   0.39  -0.39   0.36  -0.24   0.71   0.95  -0.42   0.36 
02:06    357.433      21.50      28.00     765.44     437.81     141.21      54.20      33.58       0.00 -0.58   0.56   0.15  -0.20   0.18  -0.76   0.40   0.53   0.83  -0.79   0.82  -0.72   0.42   0.33 
02:06    357.369      21.50      28.00     756.85     437.81     140.38      57.17      33.62       0.00 -0.58   0.56   0.15  -0.20   0.18  -0.46  -0.15  -0.11   0.47  -0.36  -0.49  -0.07  -0.81   0.07 
02:06    357.308      21.50      28.00     756.75     438.06     141.12      56.06      33.54       0.00 -0.39   0.45  -0.01  -0.09   0.82  -0.46  -0.15  -0.11   0.47  -0.36  -0.49  -0.07  -0.81   0.07 
02:06    357.252      21.50      28.00     762.86     437.48     141.04      56.13      32.53       0.00 -0.62  -0.95  -0.97  -0.57  -0.15  -0.21   0.77  -0.11  -0.88   0.55  -0.13   0.00  -0.21   0.43 
02:06    357.195      21.50      28.00     766.02     437.81     141.70      54.03      33.60       0.00  0.58  -0.74  -0.61   0.54   0.48  -0.24   0.09   0.97   0.36   0.73  -0.11   0.56   0.81  -0.80 
02:06    357.126      21.50      28.00     766.11     437.38     140.42      55.35      33.78       0.00 -0.37   0.95  -0.33  -0.32  -0.88  -0.83  -0.15  -0.01   0.50   0.33   0.36   0.00  -0.16  -0.52 
02:06    357.044      21.50      28.00     760.02     438.15     140.76      55.51      33.62       0.00  1.00  -0.80  -0.07  -0.78   0.82   0.30  -0.86   0.90   0.35   0.79  -0.48   0.84   0.34  -0.91 
02:07    356.960      21.50      28.00     765.36     437.81     140.76      55.51      33.40       0.00  0.46  -0.66  -0.12  -0.78  -0.67   0.81  -0.44   0.98  -0.49  -0.34  -0.61   0.59  -0.80   0.09 
02:07    356.881      21.50      28.00     764.11     436.56     141.38      56.87      33.49       0.00 -0.65  -0.24  -0.45  -0.35   0.97   0.78   0.60   0.03  -0.24   0.90   0.66   0.55   0.13  -0.51 
02:07    356.806      21.50      28.00     763.77     437.55     141.00      55.54      33.40       0.00 -0.65  -0.24  -0.45  -0.35   0.97   0.78   0.60   0.01  -0.44   0.91  -0.65   0.45   0.61   0.76 
02:07    356.749      21.50      28.00     762.60     436.30     140.05      61.29      33.53       0.00  0.32  -0.94  -0.32   0.29  -0.50  -0.06   0.86   0.01  -0.44   0.91  -0.65   0.45   0.61   0.76 
02:07    356.693      21.50      28.00     751.00     439.06     141.08      59.17      33.30       0.00  0.91   0.63   0.41   0.64   0.17   0.87  -0.97   0.40  -0.97   0.77  -0.83  -0.50   0.30  -0.22 
02:07    356.632      21.50      28.00     768.11     436.22     141.59      57.89      33.15       0.00  0.84  -0.84  -0.35  -0.72   0.63   0.73   0.95   0.04  -0.46   0.90  -0.63   0.90  -0.63  -0.69 
02:07    356.562      21.50      28.00     771.19     434.97     142.24      56.79      33.15       0.00  0.65  -0.50  -0.77  -0.88  -0.36   0.87   0.92   0.20   0.06  -0.53  -0.92   0.80   0.63  -0.11 
02:07    356.480      21.50      28.00     770.44     436.39     142.05      56.48      33.30       0.00  0.32  -0.28   0.35  -0.18   0.93   0.15   0.62   0.95  -0.03  -0.57   0.92  -0.04   0.16  -0.50 
02:07    356.402      21.50      28.00     753.60     437.14     140.26      61.50      33.18       0.00  0.85  -0.74   0.72   0.70   0.78  -0.23   0.64  -0.70  -0.22  -0.09  -0.44   0.23  -0.34   0.85 
02:07    356.329      21.50      28.00     753.84     438.15     141.02      55.89      32.88       0.00  0.85  -0.74   0.72   0.70   0.78  -0.23   0.64  -0.70  -0.22  -0.09  -0.44   0.66   0.45   0.39 
02:07    356.268      21.50      28.00     763.85     436.39     141.32      55.68      32.98       0.00  0.77   0.93  -0.59   0.07  -0.46   0.44   0.61   0.38  -0.02  -0.54   0.97   0.66   0.45   0.39 
02:07    356.209      21.50      28.00     760.84     437.38     140.97      56.44      32.69       0.00 -0.42  -0.78   0.28  -0.34  -0.44  -0.89   0.92  -0.13  -0.64   0.43   0.03  -0.45  -0.15   0.76 
02:07    356.153      21.50      28.00     760.02     437.55     141.31      56.59      32.75       0.00  0.25   0.28   0.09  -0.27   0.60   0.21  -0.16   0.57  -0.42   0.74  -0.06   0.09  -0.88   0.56 
02:07    356.087      21.50      28.00     759.01     437.72     140.41      57.81      32.68       0.00 -0.18  -0.17   0.36  -0.71   0.24   0.07   0.14   0.27  -0.95  -0.95   0.52   0.13   0.18   0.04 
02:08    356.010      21.50      28.00     751.43     438.97     140.41      57.81      33.01       0.00  0.67  -0.24  -0.09   0.69   0.18  -0.37  -0.53  -0.09   0.90   0.79   0.83   0.93   0.32  -0.69 
02:08    355.932      21.50      28.00     750.59     439.47     139.88      63.32      32.91       0.00  1.00   0.97  -0.91   0.78  -0.29   0.55  -0.27  -0.44  -0.94  -0.13  -0.95  -0.11  -0.28   0.05 
02:08    355.856      21.50      28.00     748.67     439.89     139.39      56.77      32.95       0.00  0.92  -0.51  -0.65   0.54   0.46  -0.95  -0.40  -0.22  -0.37   0.86   0.75  -0.38  -0.06  -0.60 
02:08    355.774      21.50      28.00     762.60     437.72     140.80      55.78      32.69       0.00 -0.18   0.40   0.23   0.01  -0.83   0.13  -0.13   0.52   0.02  -0.14  -0.62  -0.74   0.94  -0.78 
02:08    355.694      21.50      28.00     750.18     438.89     139.85      58.10      32.92       0.00  0.60   0.76   0.12   0.27  -0.33   0.10  -0.75   0.09  -0.10  -0.48  -0.42   0.32   0.07   0.89 
02:08    355.619      21.50      28.00     763.68     437.98     141.59      55.48      32.69       0.00  0.60   0.76   0.12   0.27   0.27  -0.40  -0.07   0.90  -0.32  -0.77   0.83  -0.90  -0.26   0.98 
02:08    355.564      21.50      28.00     763.77     437.22     140.27      60.98      32.82       0.00  0.36   0.20  -0.92  -0.34   0.27  -0.40  -0.07   0.90  -0.32  -0.77   0.83  -0.90  -0.26   0.98 
02:08    355.508      21.50      28.00     753.26     438.47     139.79      60.57      32.87       0.00  0.48   0.35  -0.03   0.72   0.46   0.41  -0.39   0.15  -0.47  -0.59  -0.34   0.10   0.97   0.18 
02:08    355.454      21.50      28.00     745.34     440.65     139.02      59.50      33.03       0.00 -0.75   0.92   0.99   0.14  -0.25   0.84  -0.80  -0.82   0.12   0.62  -0.98   0.50   0.81  -0.86 
