Stare Time: 01-Dec-2019 17:04:57
    Time    Current       EPUg       EPUp        U50        U90         Fx         Fy      SizeX      SizeY     BL11I0  InjectEff
17:04:57    361.294      30.00       0.00      25.61      28.00     758.51     438.22     139.28      61.78      63.69      42.15
17:08:16    361.958      25.00       0.00      25.61      28.00     759.85     442.14     140.12      64.75      62.73      28.03
17:08:36    361.663      25.00       0.00      25.61      28.00     759.76     442.14     139.98      64.70      62.68      28.03
17:08:56    361.363      25.00       2.00      25.61      28.00     759.76     442.14     140.31      64.50      62.74      28.03
17:09:16    361.857      25.00       4.00      25.61      28.00     759.93     441.81     140.63      64.55      62.83      30.64
17:09:36    361.558      25.00       6.00      25.61      28.00     759.35     441.40     139.94      64.50      62.76      30.64
17:09:46    361.407      25.00       6.00      25.61      28.00     759.52     441.98     140.11      64.63      62.75      30.64
17:10:16    361.903      25.00      10.00      25.61      28.00     758.10     441.14     140.05      64.26      62.67      38.91
17:10:36    361.605      25.00      12.00      25.61      28.00     757.01     440.89     139.62      64.38      62.49      38.91
17:10:56    361.306      25.00      14.00      25.61      28.00     755.84     440.73     139.82      64.50      62.24      38.91
17:11:16    361.921      25.00      16.00      25.61      28.00     754.42     440.05     139.71      64.68      62.26      41.97
17:11:36    361.628      25.00      18.00      25.61      28.00     753.09     439.40     139.90      64.62      62.07      41.97
17:11:56    361.332      25.00      20.00      25.61      28.00     752.09     438.97     139.96      64.64      61.88      41.97
17:12:16    361.854      25.00      22.00      25.61      28.00     751.51     439.31     139.74      64.67      61.70      29.24
17:12:36    361.559      25.00      24.00      25.61      28.00     750.67     439.23     139.08      64.84      61.45      29.24
17:12:56    361.268      25.00      26.00      25.61      28.00     749.92     439.06     139.16      64.86      61.91      29.24
17:13:16    361.921      25.00      28.00      25.61      28.00     750.01     438.73     139.17      64.97      62.26      32.58



17:17:33    359.790      21.50      28.00      25.61      28.00     742.84     443.15     138.31      68.37      59.40       0.00
17:17:53    359.503      21.50      26.00      25.61      28.00     742.84     442.56     138.89      68.30      58.69       0.00
17:18:13    359.214      21.50      24.00      25.61      28.00     743.59     443.40     138.68      68.01      58.09       0.00
17:18:33    358.927      21.50      22.00      25.61      28.00     744.91     443.15     138.65      68.04      58.28       0.00
17:18:53    358.638      21.50      20.00      25.61      28.00     746.42     443.40     139.06      67.97      58.61       0.00
17:19:13    358.350      21.50      18.00      25.61      28.00     748.33     443.47     139.48      68.03      58.79       0.00
17:19:33    358.062      21.50      16.00      25.61      28.00     750.35     443.56     139.17      67.42      60.23       0.00
17:19:53    357.769      21.50      14.00      25.61      28.00     752.34     444.31     139.27      67.43      60.52       0.00
17:20:13    357.481      21.50      12.00      25.61      28.00     754.76     444.72     140.02      66.85      60.86       0.00
17:20:33    357.189      21.50      10.00      25.61      28.00     756.85     445.23     140.28      66.52      61.16       0.00
17:20:53    356.900      21.50       8.00      25.61      28.00     758.60     445.49     140.58      66.61      61.25       0.00
17:21:13    356.607      21.50       6.00      25.61      28.00     760.43     445.15     140.25      66.52      61.13       0.00
17:21:33    356.316      21.50       4.00      25.61      28.00     760.84     446.31     140.09      66.74      60.93       0.00
17:21:53    356.026      21.50       2.00      25.61      28.00     761.52     446.14     140.10      66.99      60.70       0.00
17:22:13    355.734      21.50       0.00      25.61      28.00     761.01     446.48     140.51      67.28      60.10       0.00
17:22:33    355.446      21.50      -2.00      25.61      28.00     760.77     446.74     140.34      67.49      59.49       0.00
17:22:53    355.157      21.50      -4.00      25.61      28.00     759.59     446.89     140.09      67.42      58.79       0.00
17:23:13    354.871      21.50      -6.00      25.61      28.00     758.27     446.31     139.73      67.72      58.05       0.00
17:23:33    354.585      21.50      -8.00      25.61      28.00     756.68     446.31     140.09      68.02      57.53       0.00
17:23:53    354.300      21.50     -10.00      25.61      28.00     754.68     445.49     139.83      68.34      57.36       0.00
17:24:13    354.020      21.50     -12.00      25.61      28.00     752.59     444.65     139.62      68.59      56.04       0.00
17:24:33    353.743      21.50     -14.00      25.61      28.00     750.51     444.65     139.48      68.74      57.31       0.00
17:24:53    353.466      21.50     -16.00      25.61      28.00     748.33     444.40     139.24      68.87      58.35       0.00
17:25:13    353.188      21.50     -18.00      25.61      28.00     746.50     444.07     138.99      69.37      59.07       0.00
17:25:33    352.919      21.50     -20.00      25.61      28.00     745.08     443.56     138.91      69.28      59.48       0.00
17:25:53    352.640      21.50     -22.00      25.61      28.00     743.42     443.23     138.89      69.52      59.69       0.00
17:26:13    352.371      21.50     -24.00      25.61      28.00     742.41     442.98     138.57      69.46      59.46       0.00
