Stare Time: 01-Dec-2019 18:11:05
    Time    Current       EPUg       EPUp        U50        U90         Fx         Fy      SizeX      SizeY     BL11I0  InjectEff      CH11   CH12   CH13   CH14   CH15   CH16   CH17   CH21   CH22   CH23   CH24   CH25   CH26   CH27
18:11:05    360.713      30.00       0.00      25.61      28.00     758.51     438.47     139.41      61.69      62.77       2.94      0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 

18:11:05    360.392      21.50       0.00      25.61      28.00     761.01     446.89     139.88      67.21      61.43       0.00      0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
18:11:05    359.437      21.50       0.00      25.61      28.00     758.60     446.81     139.78      67.11      61.19       0.00      0.00   0.40   0.24   0.02   0.26   0.27  -0.28  -0.02   0.27   0.26   0.02   0.24   0.40   0.00 

18:11:05    358.864      21.50       2.00      25.61      28.00     761.52     446.48     140.36      66.83      61.41       0.00      0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
18:11:05    355.022      21.50       2.00      25.61      28.00     763.77     445.56     140.71      66.25      60.93       0.00      0.00  -0.09   0.07   0.07  -0.02  -0.20   0.11   0.34  -0.20  -0.02   0.07   0.07   0.00   0.00 

18:11:05    354.748      21.50       2.00      25.61      28.00     759.18     446.98     140.20      66.78      60.66       0.00      0.00   0.40   0.24   0.02   0.25   0.26  -0.26  -0.02   0.26   0.25   0.02   0.24   0.40   0.00 
18:11:05    352.949      21.50       4.00      25.61      28.00     761.10     446.23     140.21      66.69      60.31       0.00      0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 

18:11:05    352.439      21.50       4.00      25.61      28.00     759.93     446.48     139.83      66.64      59.86       0.00      0.00   0.40   0.24   0.00   0.20   0.26  -0.19   0.05   0.26   0.20   0.00   0.24   0.40   0.00 
18:11:05    350.966      21.50       6.00      25.61      28.00     760.10     445.90     140.23      66.69      59.26       0.00      0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 

18:11:05    350.507      21.50       6.00      25.61      28.00     759.93     445.97     140.07      66.19      59.16       0.00      0.00   0.15   0.15   0.09   0.14   0.11  -0.06   0.12   0.11   0.14   0.09   0.15   0.15   0.00 
18:11:05    347.853      21.50       8.00      25.61      28.00     758.77     445.39     140.01      66.28      57.28       0.00      0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 

18:11:05    347.522      21.50       8.00      25.61      28.00     758.27     445.64     140.37      66.26      57.17       0.00      0.00   0.05   0.17   0.10   0.01   0.00  -0.05   0.13   0.00   0.01   0.10   0.17   0.05   0.00 
18:11:05    345.965      21.50      10.00      25.61      28.00     756.92     445.64     139.98      66.88      55.40       0.00      0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 

18:11:05    345.608      21.50      10.00      25.61      28.00     759.43     444.72     140.30      65.73      55.46       0.00      0.00  -0.09   0.07   0.07  -0.02  -0.20   0.11   0.34  -0.20  -0.02   0.07   0.07  -0.09   0.00 
18:11:05    344.018      21.50      12.00      25.61      28.00     757.26     444.82     140.12      66.40      54.69       0.00      0.00  -0.09   0.07   0.07  -0.02  -0.20   0.11   0.34  -0.20  -0.02   0.07   0.07  -0.09   0.00 

18:11:05    343.735      21.50      12.00      25.61      28.00     759.59     443.90     140.19      65.78      54.74       0.00      0.00  -0.07   0.07   0.11  -0.07  -0.39   0.22   0.62  -0.39  -0.07   0.11   0.07  -0.07   0.00 
18:11:05    342.369      21.50      14.00      25.61      28.00     752.51     444.72     139.74      67.20      52.92       0.00      0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 

