Stare Time: 29-Oct-2019 06:25:19
    Time    Current       EPUg       EPUp        U50        U90         Fx         Fy      SizeX      SizeY     BL11I0  InjectEff      CH11   CH12   CH13   CH14   CH15   CH16   CH17   CH21   CH22   CH23   CH24   CH25   CH26   CH27
06:25:19    352.954      25.00       9.90      23.67      50.00     759.59     438.47     141.72      60.52      51.66      31.97      0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:25:25    352.889      25.00       9.90      23.67      50.00     760.94     438.22     141.72      60.52      52.57      31.97     -2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:25:30    352.821      25.00       9.90      23.67      50.00     760.68     437.98     141.72      60.52      52.51      31.97     -1.80   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:25:35    352.758      25.00       9.90      23.67      50.00     760.60     438.06     141.72      60.52      52.42      31.97     -1.60   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:25:40    352.689      25.00       9.90      23.67      50.00     760.51     437.89     141.72      60.52      52.36      31.97     -1.40   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:25:45    352.622      25.00       9.90      23.67      50.00     760.36     437.81     141.72      60.52      52.23      31.97     -1.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:25:50    352.559      25.00       9.90      23.67      50.00     760.36     438.30     141.72      60.52      52.02      31.97     -1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:25:55    352.494      25.00       9.90      23.67      50.00     759.68     438.06     141.72      60.52      52.02      31.97     -0.80   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:26:00    360.395      25.00       9.90      23.67      50.00     603.04     438.30     141.72      60.52      51.97      36.17     -0.60   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:26:05    360.324      25.00       9.90      23.67      50.00     759.68     438.30     141.72      60.52      53.03      36.17     -0.40   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:26:11    360.257      25.00       9.90      23.67      50.00     759.43     437.89     141.72      60.52      55.17      36.17     -0.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:26:16    360.190      25.00       9.90      23.67      50.00     759.68     438.47     141.72      60.52      55.07      36.17      0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:26:21    360.119      25.00       9.90      23.67      50.00     759.26     437.89     141.72      60.52      54.89      36.17      0.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:26:26    360.051      25.00       9.90      23.67      50.00     759.01     438.06     141.72      60.52      54.83      36.17      0.40   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:26:31    359.979      25.00       9.90      23.67      50.00     759.18     437.89     141.72      60.52      54.71      36.17      0.60   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:26:36    359.911      25.00       9.90      23.67      50.00     758.77     438.15     141.72      60.52      54.65      36.17      0.80   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:26:41    359.841      25.00       9.90      23.67      50.00     758.43     438.73     141.72      60.52      54.51      36.17      1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:26:46    359.772      25.00       9.90      23.67      50.00     758.68     438.22     141.72      60.52      54.47      36.17      1.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:26:51    359.705      25.00       9.90      23.67      50.00     758.51     438.47     141.72      60.52      54.33      36.17      1.40   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:26:57    359.636      25.00       9.90      23.67      50.00     758.17     438.30     141.72      60.52      54.19      36.17      1.60   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:27:02    362.213      25.00       9.90      23.67      50.00     758.27     438.30     141.72      60.52      54.60      33.89      1.80   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:27:07    362.142      25.00       9.90      23.67      50.00     758.10     438.89     141.72      60.52      54.48      33.89      2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:27:12    362.071      25.00       9.90      23.67      50.00     759.52     438.15     141.72      60.52      55.40      33.89      0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:27:17    362.005      25.00       9.90      23.67      50.00     761.01     437.81     141.72      60.52      56.65      33.89      0.00  -2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:27:22    361.933      25.00       9.90      23.67      50.00     761.52     437.81     141.72      60.52      56.52      33.89      0.00  -1.80   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:27:27    361.865      25.00       9.90      23.67      50.00     761.01     437.55     141.72      60.52      56.41      33.89      0.00  -1.60   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:27:32    361.793      25.00       9.90      23.67      50.00     760.77     437.81     141.72      60.52      56.37      33.89      0.00  -1.40   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:27:38    361.724      25.00       9.90      23.67      50.00     760.77     437.81     141.72      60.52      56.18      33.89      0.00  -1.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:27:43    361.656      25.00       9.90      23.67      50.00     760.51     437.89     141.72      60.52      56.04      33.89      0.00  -1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:27:48    361.586      25.00       9.90      23.67      50.00     760.19     438.22     141.72      60.52      55.87      33.89      0.00  -0.80   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:27:53    361.516      25.00       9.90      23.67      50.00     760.10     437.89     141.72      60.52      55.80      33.89      0.00  -0.60   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:27:58    362.000      25.00       9.90      23.67      50.00     760.19     438.39     141.72      60.52      55.76      35.02      0.00  -0.40   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:28:03    361.932      25.00       9.90      23.67      50.00     759.85     438.15     141.72      60.52      55.75      35.02      0.00  -0.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:28:09    361.862      25.00       9.90      23.67      50.00     759.52     438.22     141.72      60.52      55.09      35.02      0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:28:14    361.791      25.00       9.90      23.67      50.00     759.10     438.30     141.72      60.52      54.98      35.02      0.00   0.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:28:19    361.724      25.00       9.90      23.67      50.00     759.52     438.06     141.72      60.52      54.92      35.02      0.00   0.40   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:28:24    361.653      25.00       9.90      23.67      50.00     759.26     438.30     141.72      60.52      54.81      35.02      0.00   0.60   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:28:29    361.583      25.00       9.90      23.67      50.00     758.77     438.30     141.72      60.52      54.75      35.02      0.00   0.80   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:28:34    361.515      25.00       9.90      23.67      50.00     758.77     438.30     141.72      60.52      54.61      35.02      0.00   1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:28:39    361.444      25.00       9.90      23.67      50.00     758.60     438.47     141.72      60.52      54.62      35.02      0.00   1.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:28:44    361.374      25.00       9.90      23.67      50.00     758.10     438.47     141.72      60.52      54.51      35.02      0.00   1.40   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
06:28:50    361.306      25.00       9.90      23.67      50.00     758.10     437.98     141.72      60.52      54.40      35.02      0.00   1.60   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
