Stare Time: 29-Sep-2019 23:36:30
    Time    Current       EPUg       EPUp        U50        U90         Fx         Fy      SizeX      SizeY     BL11I0  InjectEff      CH11   CH12   CH13   CH14   CH15   CH16   CH17   CH21   CH22   CH23   CH24   CH25   CH26   CH27
23:36:30    361.503      21.50      28.00      24.30      30.00     759.35     438.15     136.38      61.35      65.54       0.00      0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
23:36:35    361.429      21.50      28.00      24.30      30.00     745.66     439.98     135.47      63.23      64.84       0.00     -1.48  -0.22  -0.03   0.80   0.11  -1.10  -0.10  -1.83   1.26  -1.20   0.09   0.92  -1.77  -0.32 
23:36:41    361.347      21.50      28.00      24.30      30.00     746.00     430.55     139.94      55.10      66.61       0.00     -1.69   0.05   0.26  -0.83   1.48   0.95   0.66   1.85   1.56   1.72   0.85  -1.67  -0.98  -0.61 
23:36:46    361.271      21.50      28.00      24.30      30.00     765.10     436.13     137.05      59.19      65.73       0.00      1.59   0.88  -0.96  -1.49   1.04   1.22  -0.95   1.20  -0.28   1.56   1.12  -0.94  -1.17  -0.50 
23:36:51    361.198      21.50      28.00      24.30      30.00     752.76     438.39     135.46      63.25      65.21       0.00      1.20  -1.03   1.12  -0.89   0.07  -0.95   0.48  -0.34  -0.73  -0.80  -0.15   1.29  -0.20   1.84 
23:36:57    361.126      21.50      28.00      24.30      30.00     775.28     435.48     137.59      68.59      65.59       0.00     -0.21  -1.73  -1.24   0.23   1.79   0.46   1.26   0.26   0.15  -1.97  -0.85   0.62   1.49   0.85 
23:37:02    361.049      21.50      28.00      24.30      30.00     775.28     434.47     137.59      68.59      66.14       0.00      0.94   1.02  -1.75   1.12  -1.94  -0.60   0.67   0.33   1.18  -1.68  -1.70   0.00  -1.30  -1.65 
23:37:07    360.971      21.50      28.00      24.30      30.00     774.78     431.89     140.13      58.09      66.82       0.00     -1.15   0.21  -1.65  -1.70   1.76   0.03   1.94   0.88   0.85  -0.83   1.78  -0.38  -1.61  -1.84 
23:37:13    360.894      21.50      28.00      24.30      30.00     746.26     440.31     135.02      61.60       7.96       0.00     -0.42   0.39  -1.96  -0.80  -0.61   0.75  -0.65  -1.50   0.13   1.62  -0.87   0.11   1.18  -0.78 
23:37:18    360.824      21.50      28.00      24.30      30.00     739.33     441.06     134.55      62.16      56.17       0.00     -1.95   0.98  -0.86   1.72  -1.98  -0.11  -1.45  -0.86   0.15  -0.65   1.26   0.09  -1.26   1.53 
23:37:23    360.753      21.50      28.00      24.30      30.00     768.35     435.89     136.27      72.35       0.19       0.00     -1.78   0.15   0.53   1.53   1.02  -0.51   1.39  -0.03  -1.48  -0.16  -1.54  -0.85  -0.38  -1.72 
23:37:29    360.681      21.50      28.00      24.30      30.00     770.35     435.31     136.98      64.91       0.11       0.00     -0.44   1.06   1.74   1.76  -0.76   0.59   1.68   0.59  -1.27   1.40   1.92  -0.70  -0.98   0.28 
23:37:34    360.607      21.50      28.00      24.30      30.00     766.52     436.06     137.51      57.74      53.61       0.00      0.93   0.52  -1.89  -0.82  -1.52  -1.43   0.93  -0.16   0.13  -0.85   1.36  -1.37  -1.91   0.40 
23:37:39    360.536      21.50      28.00      24.30      30.00     754.51     438.06     135.72      64.97      62.28       0.00      0.60  -0.04   1.98   0.05  -0.47   0.18  -1.71   1.33  -0.99  -1.32  -0.11  -1.08  -0.78  -0.01 
23:37:45    360.466      21.50      28.00      24.30      30.00     751.34     439.14     135.22      65.73      22.91       0.00      1.38   1.30  -1.78  -1.43  -0.97   1.56  -1.01  -0.51  -0.77  -0.30  -1.49   1.11  -1.17   1.17 
23:37:50    360.397      21.50      28.00      24.30      30.00     732.91     442.31     133.80      64.95      62.43       0.00      1.41  -1.98   1.30  -0.87  -1.56  -0.33  -1.36  -1.78   1.06   1.45   1.17  -0.81   1.46   0.93 
23:37:55    360.322      21.50      28.00      24.30      30.00     777.61     433.55     138.07      56.14      65.44       0.00     -1.76   0.67  -1.71  -1.62   0.07   0.93  -0.87   1.94   0.32   1.75  -1.05   1.38  -0.19  -1.75 
23:38:01    360.254      21.50      28.00      24.30      30.00     750.25     439.14     138.07      56.14      64.51       0.00     -1.70   1.15  -1.57   1.96   0.00   0.97  -0.59  -1.71   1.30  -1.03  -1.78  -1.77   0.84  -0.29 
23:38:06    360.178      21.50      28.00      24.30      30.00     770.20     435.31     137.07      61.51      65.91       0.00      0.79   1.36  -0.49   0.13   0.99  -0.40   1.07  -0.13   1.53  -0.90   0.86  -1.47  -0.63   0.09 
23:38:12    360.108      21.50      28.00      24.30      30.00     772.36     434.97     137.28      66.80      65.58       0.00     -0.68   0.78   1.44   1.66   1.49   1.08   0.99   0.82   0.40   0.72  -0.80   0.16   1.71   0.82 
23:38:17    360.040      21.50      28.00      24.30      30.00     730.91     443.73     133.84      68.60      63.75       0.00      1.09   0.31   1.86  -1.88   0.11  -0.93  -1.23  -1.31  -1.27  -0.82  -0.49   0.54  -0.48  -0.14 
23:38:22    359.970      21.50      28.00      24.30      30.00     769.10     435.39     137.32      57.77      65.57       0.00      1.03  -0.98   0.73  -1.84  -0.18   1.19   0.26   0.43   1.01   0.70   0.93  -0.55   1.59   1.89 
23:38:27    359.904      21.50      28.00      24.30      30.00     754.25     438.47     134.27      78.57      63.61       0.00     -1.96   0.18   0.84   1.72  -1.87   1.66   0.31  -1.44  -0.77  -1.01  -1.82  -1.21  -0.81   1.96 
23:38:33    359.834      21.50      28.00      24.30      30.00     751.67     439.47     134.81      71.66      64.23       0.00      1.90   0.00   0.36   0.93   1.99   1.81  -1.99   1.57  -1.03  -1.66   1.59   1.60  -0.96   0.99 
23:38:38    359.763      21.50      28.00      24.30      30.00     759.52     437.89     135.50      70.98      64.75       0.00     -0.41   0.75  -2.00   1.37   1.17  -0.91   1.39  -0.79  -1.43   0.79  -1.17  -1.25  -0.51   0.86 
23:38:43    359.687      21.50      28.00      24.30      30.00     776.29     433.72     137.64      66.62      65.65       0.00     -0.30  -0.81   0.71  -0.66   1.80  -1.55   1.66   1.69  -1.95  -1.87   0.13   0.95   0.78   0.19 
23:38:49    359.613      21.50      28.00      24.30      30.00     757.69     437.64     136.13      63.42      65.25       0.00     -0.70   0.32   1.59   1.56  -0.79  -0.94   0.67  -0.77   0.54   0.24  -1.61  -0.48   0.27  -1.80 
23:38:54    359.541      21.50      28.00      24.30      30.00     771.19     435.31     137.77      63.75      65.81       0.00     -0.08  -1.91  -0.24  -1.03   1.25  -0.24   1.56  -1.59   1.75  -0.51  -1.36  -1.95  -0.54  -0.28 
23:38:59    359.472      21.50      28.00      24.30      30.00     754.76     437.38     136.25      60.46      64.49       0.00     -0.29  -1.94  -0.77  -0.92   1.47   0.87  -1.08  -0.75   1.92   1.77   1.09   1.33  -1.78  -1.43 
23:39:05    359.404      21.50      28.00      24.30      30.00     762.52     436.56     136.25      60.46      62.79       0.00      0.02   0.70  -1.30  -0.44   1.68   1.85   1.04  -1.71  -0.31  -1.29  -0.96  -0.33  -1.07  -1.32 
23:39:10    359.335      21.50      28.00      24.30      30.00     771.11     435.31     136.89      65.40      65.52       0.00     -0.26  -1.10   1.79  -0.49  -0.56   1.97  -0.70   1.57  -0.52  -2.00   1.05  -0.29  -1.48   1.41 
23:39:15    359.263      21.50      28.00      24.30      30.00     761.44     436.64     136.51      59.32      65.23       0.00     -0.12  -1.95   1.76  -0.49   1.47   1.50  -1.92   1.50   1.48  -1.58   1.84  -0.34   1.67   0.14 
