Stare Time: 30-Sep-2019 02:43:07
    Time    Current       EPUg       EPUp        U50        U90         Fx         Fy      SizeX      SizeY     BL11I0  InjectEff      CH11   CH12   CH13   CH14   CH15   CH16   CH17   CH21   CH22   CH23   CH24   CH25   CH26   CH27
02:43:07    364.899      21.49      28.00      24.30      30.00     760.36     437.72     136.22      61.59      66.06       0.00      0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 
02:43:12    364.830      21.50      28.00      24.30      30.00     758.85     438.06     135.44      72.35      64.90       0.00      1.74  -1.43   1.66   1.74   1.49  -0.80   1.97  -0.83  -0.96   0.04  -0.50   1.47  -1.72   1.00 
02:43:17    364.756      21.50      28.00      24.30      30.00     758.34     437.55     133.21      95.41      61.74       0.00     -1.81  -1.05   1.86   1.66   0.50   1.93   1.88  -1.63  -1.90  -1.81   0.69   1.31  -0.70  -0.13 
02:43:23    364.683      21.50      28.00      24.30      30.00     783.29     432.97     139.07      61.18      66.99       0.00     -1.61  -1.38   0.87   0.26   1.02   1.54   0.21   1.77  -0.17   1.51  -0.62  -1.02  -1.68   1.06 
02:43:28    364.604      21.50      28.00      24.30      30.00     782.62     433.22     138.86      64.87      66.77       0.00     -0.58  -1.00   1.31  -0.78  -0.89   1.03   1.76   0.87  -1.35   0.61  -0.63  -0.83   0.71  -0.30 
02:43:33    364.532      21.50      28.00      24.30      30.00     758.34     438.06     135.92      64.89      65.87       0.00      1.53  -0.21   0.97  -1.96   1.68  -1.89   1.12  -1.30   0.76  -1.26  -1.05  -1.28   0.14  -0.60 
02:43:39    364.461      21.50      28.00      24.30      30.00     747.58     439.81     135.27      60.94      65.22       0.00     -1.33   0.44   0.20  -1.05   1.37  -1.29  -0.34  -0.79   0.52   0.01   0.45   1.86  -0.44  -1.49 
02:43:44    364.381      21.50      28.00      24.30      30.00     762.93     437.55     136.78      59.12      64.92       0.00      1.28  -0.56  -1.00   1.18  -0.73  -1.29  -1.05   1.73   0.55  -0.22   1.00  -0.92  -0.03   0.63 
02:43:49    364.313      21.50      28.00      24.30      30.00     750.35     439.55     135.12      71.71      65.01       0.00      1.33   1.25  -0.08   0.94   0.63   1.35   0.29  -1.77   1.18  -1.13   1.76  -1.86   1.54  -1.19 
02:43:55    364.241      21.50      28.00      24.30      30.00     752.68     439.23     135.23      72.35      64.79       0.00      1.98  -0.57   2.00  -1.36   0.73   0.93   0.35  -1.12  -0.87  -0.14   0.56  -0.71  -1.89  -0.23 
02:44:00    364.160      21.50      28.00      24.30      30.00     784.54     431.97     136.87      68.57      66.99       0.00      0.77  -0.72  -1.57  -0.09  -1.20   0.74   1.83   1.39  -1.72   0.29  -0.89  -0.03  -0.44   1.68 
02:44:05    364.090      21.50      28.00      24.30      30.00     736.08     443.23     136.87      68.57      64.51       0.00      0.66  -0.32   1.79   1.25   1.33  -1.94   0.05  -1.86  -0.16  -0.48   0.51  -0.16  -1.08  -0.83 
02:44:10    364.023      21.50      28.00      24.30      30.00     756.27     438.89     135.64      68.67      65.41       0.00      1.53  -1.14   0.10   1.62   1.43   1.77  -1.38  -0.44   2.00  -1.28  -0.29  -0.96  -0.70  -1.59 
02:44:16    363.946      21.50      28.00      24.30      30.00     778.87     433.46     138.55      57.63      66.75       0.00     -1.65  -1.33  -1.80   1.52  -0.69   0.63   0.20   1.65  -0.32  -0.26   1.01  -0.25   0.77  -0.96 
02:44:21    363.871      21.50      28.00      24.30      30.00     740.99     441.40     134.27      61.90      64.56       0.00     -1.69  -0.85   1.84   1.42  -1.90  -0.21  -1.52  -1.09   1.24  -0.58   1.49  -1.28   0.35  -1.75 
02:44:26    363.794      21.50      28.00      24.30      30.00     783.53     432.71     138.73      62.70      66.85       0.00      0.75   1.12   1.98  -0.66  -1.08   1.04   1.47   0.99   0.01   0.31  -0.83   0.06  -1.83  -0.43 
02:44:32    363.721      21.50      28.00      24.30      30.00     768.69     435.39     136.97      63.83      66.24       0.00      1.46   1.27   0.61  -1.02   1.99  -0.02   0.56   1.35  -1.07   1.36  -1.49   0.72   1.89  -0.46 
02:44:37    363.644      21.50      28.00      24.30      30.00     741.25     441.47     134.63      61.94      64.39       0.00     -1.96   0.42   0.63  -2.00   0.35  -1.35  -1.55  -1.53   1.13   1.18  -1.79  -1.84  -1.28  -0.09 
02:44:42    363.574      21.50      28.00      24.30      30.00     741.91     440.89     135.04      61.72      64.45       0.00     -0.07   1.17  -0.48  -0.60   0.87  -1.32  -1.30  -0.94   1.95  -1.65   1.44  -0.45  -0.93   1.15 
02:44:48    363.501      21.50      28.00      24.30      30.00     739.16     442.14     134.37      68.39      64.70       0.00     -1.17   1.96  -0.24  -1.16   1.67  -1.57  -0.04  -1.79  -0.57  -1.10   1.14  -0.45  -1.32   0.93 
02:44:53    363.428      21.50      28.00      24.30      30.00     762.35     437.64     136.47      58.87      65.00       0.00     -1.86   0.07  -0.52   1.01  -0.91  -1.59  -0.50   0.82   0.37   1.62  -1.66  -0.15  -0.50   0.00 
02:44:58    363.354      21.50      28.00      24.30      30.00     756.92     437.81     136.45      61.24      65.83       0.00      1.82   0.01   0.80   1.27  -0.78   0.77   0.06  -0.08   0.78  -0.01   0.58   1.36   0.61  -0.13 
02:45:04    363.284      21.50      28.00      24.30      30.00     736.83     442.39     136.45      61.24      64.05       0.00     -0.96   1.16  -1.45   1.06   1.07  -1.67  -1.20  -0.78   0.16   1.64  -0.54   1.32  -0.94   1.85 
02:45:09    363.215      21.50      28.00      24.30      30.00     734.90     443.23     133.40      72.26      64.15       0.00      1.58   1.67   0.98   1.30  -0.17   0.59  -0.60  -1.85  -0.23  -0.09   1.28  -0.19  -1.06  -0.10 
02:45:14    363.145      21.50      28.00      24.30      30.00     745.66     441.64     135.27      62.72      65.14       0.00      1.44   0.54   1.59   0.96  -0.51   0.58  -1.72   1.26  -1.76   1.26   1.84   0.34  -1.21   0.21 
